8c, 260, 0, 0, 0
43, 259b17f890, 1, 259b17f538, 0
e, 9f0, 0, 0, 1
25, fffffffffffffffe, 0, 259b17f9a0, 30
d, fffffffffffffffe, 3, 259b17f9e8, 4
48, 259b17f768, 1f0003, 0, 1
1ae, 24, 9, 8cd60ff918, 4
77, 21ac3a7cf80, 1e0, 0, 0
1e3, 18, 21ac46bae30, 10, 3b5d17fb38
89, 704, 0, 7d2fe7f030, 10
8c, 704, 20000, 1d04e45d160, 1d051232f38
89, 1e0, 0, 3b5d07f8d8, 10
8c, 1e0, 0, 0, 0
1ae, 18, 9, 3b5d07f790, 4
8c, 1e0, 410000, 21ac528a030, 0
8c, 704, 20000, 1d04e45d160, 1d051232f38
1e3, 24, 1f81403bd90, 10, 8cd60ffa48
1e3, 20, 233ba192cc0, 10, 4e2d0ff4c8
5b, 1, 259b17f828, 1, 0
14fb, ffffffff8b01092d, 1ed4e7f0580, 78304ae4, 1ed4d010000
4, 230, 0, c416bff5c8, 0
4, 1320, 0, c416bff5c8, 0
124d, c416bff570, c0003280, 1c5a4484500, 0
4, 2b0, 0, c416bff588, 0
154, 10c4, 1c, 25fac7f1b8, 10
154, 10c4, 1d, 25fac7f2d0, 8
154, 10c4, 3, 25fac7f150, 10
26, 25fac7f2b8, 1000, 25fac7f3f0, 25fac7f3b0
4f, f44, 10c4, 3, 196d5cef2c0
19, f44, 41, 25fac7f1d0, 20
f, f44, 0, 25fac7f198, 0
154, 10c4, 9, 25fac7ee50, 98
154, 10c4, c, 25fac7eca8, 38
154, 10c4, d, 25fac7ece0, 58
e, 1ac, 0, 47ec8ff7e8, 0
154, 10c4, f, 25fac7eca0, 8
1a6, 10c0, f, 25fac7ec78, 8
1a6, 10c0, 16, 25fac7ec18, 1
1a6, 10c0, 15, 25fac7ec78, 1
129, 25fac7f3b8, 2000000, 25fac7f3f8, 0
16, f44, 7, 25fac7f198, 4
129, 25fac7f1f0, 1, 25fac7f250, 0
f, f44, 1, 25fac7f210, 5c
1a6, 10c4, 2a, 25fac7f500, 48
154, 10c4, 2a, 25fac7f210, 48
76, ffffffffffffffff, 4269b7dcb0, 4269b7dc00, 1000
4, 1a8, 0, 0, 0
4, ac, 0, 0, 0
89, 160, 0, 86c3a7f848, 10
8c, 160, 0, 0, 0
8c, 5d8, 0, 0, 0
89, ba0, 0, 86c3a7f6c0, 10
f, ba0, ba0, 24ab0e4b1c8, 0
1ae, 18, 9, 86c3a7f650, 4
1ae, 18, 9, 86c3a7f928, 4
1e3, 18, 24ab10fde90, 10, 86c3a7fa58
3000f, 3, 77658b80, 216, 7763671c
145d, 1cff, 7, 1ffff, 4
25, fffffffffffffffe, 0, 5e070fe760, 30
e, a80, 0, 5e070fe6a0, 0
145d, 1cff, 7, 1ffff, 1
145d, 1cff, 7, 1ffff, 1
145d, 1cff, 5e070fecc8, 5e070fec01, 4
90, 5a0, 780, 5d8, 253ab14c520
13e9, 5e070fea58, 7fff21b04ab0, 5e070fe908, 0
145d, 1cff, 10, 1ffff, 14
145d, 1cff, 9, 1ffff, c
8c, 5d8, 0, 0, 0
145d, 1cff, 5e070fecc8, 5e070fec01, 4
90, 5a0, 780, 5d8, 253ab14c520
17c, e3c, 800010005, 10005, 8
50, ffffffffffffffff, cadd00, cadcf8, 4
154, 10c4, 13, 25fac7f260, 1c0
1e3, e3c, 196d56e13d0, 10, 25fab7fc08
1e3, e3c, 196d56e13d0, 10, 25fab7fc08
1bd, 28, 47ec87f510, 0, 47ec87f540
1bd, 28, 47ec87f460, 0, 47ec87f468
90, 2c, 18, 28, 1ed4ce30d68
e, ac, 0, 10, 80000000
3e, ac, 0, 47ec8ff928, 0
3e, 1ac, 0, 47ec8ff998, 0
17c, 20, 1, 0, ffff0000
89, 1b0, 0, af0f6ff528, 10
8c, 1b0, 0, 0, 0
13e9, 5e070fea58, 7fff21b04ab0, 5e070fe908, 0
1e3, 1c, 1ed4ce3a000, 10, 47ec87f5e8
f, 9f0, 1, 18f26b307e0, 4
5e, 790, 300, 78, 259b7fca98
76, ffffffffffffffff, 259b7fcd20, 259b7fcc70, 1000
25, fffffffffffffffe, 0, 259b7fd0a0, 30
48, 259b7fce58, 1f0003, 0, 1
17c, 20, 1, 0, ffff0000
5e, 790, 300, 78, 259b7fcfd8
48, 259b7fd7d8, 1f0003, 0, 1
4, 9e4, 0, 259b7fd7b8, 0
1ae, 18, 9, af0f6ff3a0, 4
1ae, 18, 9, af0f6ff608, 4
1e3, 18, 271f2e51ba0, 10, af0f6ff738
89, 23c, 0, be0f8ff670, 10
8c, 23c, 0, 0, 0
89, 104, 0, be0f8ff6c8, 10
8c, 104, 0, 0, 0
1ae, 20, 9, be0f8ff540, 4
d, fffffffffffffffe, 2c, 28546830de8, 8
0, 285461cf640, 13e4, 20000, be0f8fe9e0
8c, 104, 410000, 28545cb0a70, 0
21, fffffffffffffffa, 1d, 568ec40, 4
79, 9838908, 568ee18, 568ee28, 568eea0
1, 8c, 4aba17f890, 0, 4aba17f840
f, 2dc, 1, 1adfcde07e0, 4
f, 230, 1, 1adfcde07e0, 4
b, 190, 252177f550, 0, 252177f568
89, 1f0, 0, b7fbaff828, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fbaff6a0, 4
d, fffffffffffffffe, 2c, 2a6e6821c68, 8
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
86, 4ac, 2a6e71f3d60, 0, 5c
21, fffffffffffffffa, 1, b7fbafe1d0, 58
d, fffffffffffffffe, 5, b7fbafe0e0, 8
25, fffffffffffffffe, 0, 5e06c7f700, 30
34, 0, 47ec8ff9e0, 47ec8ff998, 0
25, fffffffffffffffe, 17, c416bff6b0, 10
1157, c416bff450, c416bff5f0, c416bff5e8, 0
76, ffffffffffffffff, c416bfef60, c416bfeeb0, 1000
1157, c416bff380, c416bff498, 7ffe7000, 83
1115, 4, c416bff400, 1c59c653130, ffffffff
1128, 4, c416bff420, c416bff428, 0
84, 67c, 1, 0, d5a407fd00
f, 67c, 0, d5a407f8a8, 0
82, 80, 0, 2bd27ee0000, 0
f, 7a0, 0, d5a407f8a8, 0
8c, 80, 10000, 0, 0
d, fffffffffffffffe, 2c, 25f9b7fb80, 8
17d, 26c, c416bfeee0, 1, c416bfeed0
d, fffffffffffffffe, 5, b7fbafe108, 8
5b, 1, 1c59c641140, 1, 0
17d, 26c, c416bfeee0, 1, c416bfeed0
25, fffffffffffffffe, 17, c416bff420, 10
112c, c416bff370, c416bff364, c416bff368, 0
12dd, ffffffff89120c08, 4, c416bff0e0, c416bff148
103b, ffffffffac040cea, 0, 0, 0
103b, ffffffffac040cea, 30, 1c5a6416d50, 0
1020, ffffffffac040cea, c41699c000, 0, 1c59caf0000
112e, c416bff400, c416bff3f0, c416bff3f4, 0
25, fffffffffffffffe, 17, c416bff420, 10
11ea, c416bfe938, 1c5a443ba10, 7fff21fb89b0, c416bfe798
11b3, c416bfe810, 1c5a4438050, c416bfe838, 0
d, fffffffffffffffe, 2c, 196d5f36a00, 8
11ea, c416bfe7c0, 1, 1c5a2010030, 7fff2749ce20
1257, c416bff120, 7fff2123a7c8, c416bff120, 5554
11ea, c416bff240, 0, 0, 0
1257, c416bff120, 7fff2123a7c8, c416bff120, 5554
1e3, 24, 21f3980ab30, 10, 5f27eff638
129, 25f9b7f1f8, 2000000, 25f9b7f238, 0
154, 1820, 1, 25fb57f940, 30
1ca, 196d63ab300, 0, 0, 25fb57f910
1dd, 196d63ab300, 0, 1, 1
1a6, f48, 7, 25fb57f8f0, 10
154, f48, 11, 25fb57f910, 8
1a6, 1820, 7, 25fb57f8f0, 10
154, 1820, 11, 25fb57f910, 8
f, 1820, 0, 1, 196d6221198
f, f48, 0, 25fb57f938, 0
17c, 20, 1, 0, ffff0000
1e3, 20, 196d63c2210, 10, 25fb57fb98
1e3, 20, 196d63c2210, 10, 25fb57fb98
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
1e0, 7ff68f5cbb9c, 0, 0, 2800
86, 4ac, 2a6e71f3d60, 0, 5c
21, fffffffffffffffa, 1, b7fbafe170, 58
d, fffffffffffffffe, 5, b7fbafe080, 8
11ea, c416bff240, f, 1c5ace135b0, 2e
39, 998, 9a8, 0, 14004e28f28
12, 1d65b030, 20119, b25de78, 1d65b030
16, 453c, 0, b25deb0, 210
17, 453c, b25dfa8, 2, b25dcd0
17, 453c, b25dd78, 2, b25daa0
17, 453c, b25dd78, 2, b25daa0
17, 453c, b25dfa8, 2, b25dcd0
17, 453c, b25dfa8, 2, b25dcd0
16, 453c, 7, b25dca8, 4
129, b25dd00, 20119, b25dd60, 0
17, 453c, b25dd78, 2, b25daa0
17, 453c, b25dfa8, 2, b25dcd0
17, 453c, b25dfa8, 2, b25dcd0
1157, c416bff2e0, c416bff3f8, 7ffe7000, 83
1119, 4, c416bff4b8, 1c59c6610a8, 1c59c6610a8
146, 870, 0, 5, 83
17c, 18, 1, 0, ffff0000
1e0, 2b481d79d08, f298cffa60, 1, 0
25, fffffffffffffffe, 17, c416bff5c0, 10
5b, 4, 1c59c63b508, 1, 0
17d, 26c, c416bff250, 1, c416bff240
5b, 5, 1c59c641140, 1, 0
89, 534, 0, 25f9a7f848, 10
8c, 534, 0, 0, 0
1ae, 20, 9, 25f9a7f6c0, 4
d, fffffffffffffffe, 2c, 196d6342b18, 8
86, 1300, 196d5fbd070, 0, 0
24, fffffffffffffffe, 8, 1, 25f9a7e9b0
21, f44, 1, 25f9a7e9e0, 58
21, f44, c, 25f9a7eb50, 4
f, f44, 0, 25f9a7e968, 0
d, fffffffffffffffe, 5, 25f9a7ea80, 8
1ae, 20, 9, 25f9a7f928, 4
1e3, 20, 196d6337940, 10, 25f9a7fa58
83, 3b0, 0, 37, 3b0
84, 3334, 0, 11c48d0, 570f5a0
89, 3334, 0, 570f4f0, 10
f, 3334, 3334, 570f460, 2f2
16, 1744, 7, 25f9b7efd8, 4
17, 453c, b25dfa8, 2, b25dcd0
17, 453c, b25dfa8, 2, b25dcd0
17, 453c, b25dfa8, 2, b25dcd0
f, 453c, 1, 10207e0, 0
24, fffffffffffffffe, 2001c, 0, b25e030
4, 508, 0, 325637ea28, 0
1001, 570fa58, 0, 0, 0
17c, 18, 100010005, 10005, 1
13b8, 40002, 1c5acfc8c70, 1c59c63b300, 20
1e3, 18, 1c5a62ea5d0, 10, c4170ff738
1e3, 18, 1c5a1662760, 10, c41757fa78
25, fffffffffffffffe, 2a, b25e030, 4
37, b25dfc8, d, b25df20, 3
3d, b25dd58, b25dd88, 2, 0
33, b25dd90, 100021, b25ddc8, b25ddf8
4a, b25dd98, d, 0, 0
d, fffffffffffffffe, 5, b7fbafe0a8, 8
129, 362367c5f0, 1, 362367c650, 0
17c, 20, 1, 0, ffff0000
34, 0, e8a97fc3f0, 26, 0
a, 1148, 1, 0, 25fac7efd4
154, 10c0, 13, 25fac7edc0, 1b0
7, 11e4, 0, 0, 0
154, 10c0, 13, 25fac7eba0, 1b0
16, 218, 7, 362367c6e8, 4
129, 362367c740, 20019, 362367c7a0, 0
16, 18c, 7, 362367c6e8, 4
129, 362367c740, 20019, 362367c7a0, 0
f, 18c, 10, 8, 2
f, 230, 10, 8, 2
1bd, 2c, b5c597f980, 0, b5c597f9b0
1bd, 2c, b5c597f8d0, 0, b5c597f8d8
17c, 20, 1, 0, ffff0000
90, 30, 1c, 2c, 1f6d1a02558
1ae, 20, 9, b5c597f900, 4
1a6, 10c0, 2e, 25fac7ef90, 8
16f, 25fac7f1f0, 2, 0, 25fac7f288
1de, 25fac7f1e0, 25fac7f310, 220, 0
1ae, 20, 9, b5c597f928, 4
90, 74, 14, 70, 253a8806978
f8, 0, 5e0747f620, 0, 0
17c, 18, 1, 0, ffff0000
f8, 253ab424758, 5e0747f620, 1, 0
8c, 478, 20000, 253ab423670, 253a8837878
89, 53c, 0, 25fb57f988, 10
1e3, 8c, 1e5fa5fb760, 10, 4aba17f668
d, fffffffffffffffe, 3, 5e06c7f748, 4
17c, 20, 100010000, 10000, 1
d, fffffffffffffffe, 2c, 196d5c510e0, 8
154, 10d0, 14, 25f9a7f820, 40
d, fffffffffffffffe, 2c, 25f9a7fa10, 8
d, fffffffffffffffe, 2c, 196d4c77500, 8
1e3, 20, 196d6337940, 10, 25f9a7fa58
1e3, 20, 196d6337940, 10, 25f9a7fa58
129, 25f9b7f030, 1, 25f9b7f090, 0
f, 1744, 0, 0, 0
17, 16dc, 25f9b7f328, 2, 25f9b7f050
f, 16dc, 1, 196d49d07e0, 0
129, 25f9b7ed28, 2000000, 25f9b7ed68, 0
16, 16dc, 7, 25f9b7eb08, 4
129, 25f9b7eb60, 20019, 25f9b7ebc0, 0
f, 16dc, 20019, 25f9b7eb80, 5c
129, 25f9b7ed98, 2000000, 25f9b7edd8, 0
16, 16dc, 7, 25f9b7eb78, 4
129, 25f9b7ebd0, 20019, 25f9b7ec30, 0
f, 16dc, 0, 0, 0
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 196d5f2dd70
1ae, 20, 9, b7fbaff908, 4
1e3, 20, 2a6e684dcc0, 10, b7fbaffa38
8c, 224, 20000, 27a7fc55810, 27a7ebd9058
89, 1f0, 0, b7fbaff828, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fbaff6a0, 4
d, fffffffffffffffe, 2c, 2a6e6821c68, 8
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
86, 4ac, 2a6e71ee860, 0, 5c
21, fffffffffffffffa, 1, b7fbafe1d0, 58
d, fffffffffffffffe, 5, b7fbafe0e0, 8
d, fffffffffffffffe, 5, b7fbafe108, 8
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
17, 1744, 25f9b7edf8, 2, 196d5cf9830
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
24, fffffffffffffffe, 4, 1, 362367d1a0
131, ffffffffffffffff, 8, 362367d198, 5c
21, 230, 14, 362367d150, 4
21, 230, 12, 362367d148, 4
21, 230, 1, 362367d090, 64
12, 362367d188, 2000000, 362367d058, 32
89, 428, 0, 6cf4ff4f8, 10
8c, 428, 0, 0, 0
1ae, 20, 9, 6cf4ff370, 4
d, fffffffffffffffe, 2c, 1eb1b97b2e8, 8
12, 6cf4fe698, 1, 6cf4fe6c8, 21
17, 25c, 6cf4fe6a0, 2, 6cf4fe6f8
12, 6cf4fe6b0, 1, 6cf4fe6c8, 0
8c, 53c, 0, 0, 0
1e3, 20, 1f6d2ad7210, 10, b5c597fa58
16f, 25fac7f1f0, 2, 0, 25fac7f288
90, 9c, 80, 98, 1e5f9a046d8
17, 1744, 25f9b7edf8, 2, 25f9b7eb20
86, 4ac, 2a6e71ee860, 0, 5c
21, fffffffffffffffa, 1, b7fbafe170, 58
d, fffffffffffffffe, 5, b7fbafe080, 8
17, 7d8, 6cf4fe6a0, 2, 6cf4fe6f8
17, 25c, 6cf4fe6a0, 2, 6cf4fe6f8
f, 25c, 0, 6cf4fe658, 0
f, 7d8, 0, 6cf4fe658, 0
86, 704, 1eb1b5b5070, 0, 0
24, fffffffffffffffe, 8, 1, 6cf4fe770
1e, ffffffffffffffff, 4aba17f2e0, 4aba17f2e8, 4000
1e, ffffffffffffffff, 4aba17f2e0, 4aba17f2e8, 4000
1e, ffffffffffffffff, 4aba17f2e0, 4aba17f2e8, 4000
16, c4, 7, 362367cd68, 4
90, 9c, 80, 98, 26ddcc04968
1e, ffffffffffffffff, e2cdcff280, e2cdcff288, 4000
1e, ffffffffffffffff, e2cdcff280, e2cdcff288, 4000
1e3, 8c, 26ddf0573d0, 10, e2cdcff608
90, 9c, 80, 98, 2a6e68048b8
1e, ffffffffffffffff, b7fb47f7f0, b7fb47f7f8, 4000
1bd, 24, 866f960, 0, 866f990
90, 28, 14, 24, 11b0d68
d, fffffffffffffffe, 5, 6cf4fe710, 8
1045, 0, 0, 7fff0ab42a40, 11e67460
43, a9978f460, a999b1201, a999b1000, a999b1000
1, 8c, a9978f850, 0, a9978f800
1e3, 8c, 1c7b2ec8c10, 10, a9978f628
90, 9c, 80, 98, 1c7b2e04958
1e, ffffffffffffffff, a9978f230, a9978f238, 4000
1e0, 253a886cc98, 0, 5e06a956c0, 5e06c7f1d8
89, 1f4, 0, 47fd2ff5d8, 10
8c, 1f4, 0, 0, 0
1ae, 20, 9, 47fd2ff450, 4
1e3, 8c, 1e5fa5fb760, 10, 4aba17f668
1e, ffffffffffffffff, a9978f2a0, a9978f2a8, 4000
1e, ffffffffffffffff, a9978f2a0, a9978f2a8, 4000
1e, ffffffffffffffff, a9978f2a0, a9978f2a8, 4000
1e3, 8c, 1c7b2ec8c10, 10, a9978f628
43, 370798f760, 3707a44201, 3707a44000, 3707a44000
d, fffffffffffffffe, 5, b7fbafe0a8, 8
1e, ffffffffffffffff, b7fb47f7f0, b7fb47f7f8, 4000
43, c1b747f470, c1b701c201, c1b701c000, c1b701c000
1, 80, c1b747f860, 0, c1b747f820
1e3, 80, 2490f4e6af0, 10, c1b747f638
90, 90, 74, 8c, 2490e804af8
1ae, 20, 9, 47fd2ff6b8, 4
1, 8c, 370798fb50, 0, 370798fb00
1e3, 8c, 186decc0210, 10, 370798f928
90, 9c, 80, 98, 186dec04978
1e, ffffffffffffffff, 370798f5a0, 370798f5a8, 4000
1e, ffffffffffffffff, 370798f5a0, 370798f5a8, 4000
1e3, 8c, 186decc0210, 10, 370798f928
1ae, 20, 9, b7fbaff908, 4
1e3, 20, 2a6e684dcc0, 10, b7fbaffa38
8c, 224, 20000, 27a004ba510, 27a7ebd9058
89, 1f0, 0, b7fbaff828, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fbaff6a0, 4
d, fffffffffffffffe, 2c, 2a6e6821c68, 8
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
86, 4ac, 2a6e8545270, 0, 5c
21, fffffffffffffffa, 1, b7fbafe1d0, 58
